0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Name,Manufacturer,Family,Alt_Name,Oxidizer,Fuel,Mass,Mass_Payload,Impulse,Thrust,Isp,Duration,Chambers,Date,Usage,Group
None,,,,,,1,1,,,0,,,,,None
PSSC,AERO,-,-,-, Solid,2,1.5,40,,2718.314645,,4,2011,PSSC,Solid
Icarus St2,ERAU,-,-,-, AP/Al,13,12.11422831,28.7,4.1,241.5,7,1,2007,Icarus [2],Solid
MERA,KBPT,-,-,-, Solid,20,15,40,20,271.8314645,2,1,1992,MERA,Solid
Hyperion,EAC,-,-,N2O, HTPB,47,35.25,93,6,268.9396404,15,1,1996,eAc,Hybrid
MR-107,RRC,MR-107,-,-, Hydrazine,77.20848667,61.76678934,143,0.26,236,550,1,1990,"Pegasus AOCS,HAPS",MonoHyd
DHX-200 Aurora,DARE,-,-,N2O, Sorbitol/Paraf/Al,85,63.75,190,8,303.8116368,23,1,2015,Stratos II+,Hybrid
Starlink Kr EPS,SPXS,-,-,IPS, Kr,150,120,2940,,2500,,1,2019,Starlink,EP
SpaceLoft,UPAE,-,-,-, Solid,200,150,439.2,36.6,298.470948,12,1,2006,SpaceLoft XL,Solid
Kaman-80,SKYRT,-,-,-, Solid,500,375,1610,70,437.6486578,23,1,2022,Vikram-S,Solid
STIG-B,ARMAD,-,-,LOX, Ethanol,716.7431193,573.3944954,1125,22.5,200,50,1,2011,STIG-B,LOX/Alcohol
STIG-A,ARMAD,-,-,LOX, Ethanol,716.7431193,573.3944954,1125,22.5,200,50,1,2011,STIG-A,LOX/Alcohol
SARGE,EXOSA,LE23000FC,-,LOX, Ethanol,921.2538226,737.0030581,1446,24.1,200,60,1,2018,SARGE,LOX/Alcohol
Super Draco,SPXTX,-,-,N2O4, MMH,962.4352051,769.9481641,1775,71,235,25,1,2014,Dragon2,NTO/Hyd
Super Draco (1),SPXTX,-,-,N2O4, MMH,989.5460559,791.6368447,1825,73,235,25,1,2009,Dragon,NTO/UDMH
KSLV SRM,KARI,-,-,-, Solid,1000,750,3520,80,478.4233775,44,1,2009,KSLV,Solid
LVS,VSSC,LVS,-,MON-3, MMH,1323.854535,1059.083628,3200,7.4,308,,1,1993,PSLV PS4 x 2,NTO/Hyd
HyPLOX75,HYIMP,-,-,LOX, Paraffin,2143.530824,1714.824659,5400,75,321,72,1,2023,SR75,Hybrid
S4,ISRO,-,-,-, HTPB,4500,3375,17920,160,541.2466493,112,1,2021,SSLV [3],Solid
TQS492-2,SISP,-,-,MON-I, MMH,6065.740986,4852.592789,15000,0.49,315.1,,1,2011,DFH-4 LAE,NTO/Hyd
YF-40,SLREC,YF,-,N2O4, UDMH,12500,10000,29724.3,98.1,303,303,1,1990,CZ-4 Stage 3,NTO/UDMH
KRE-007 V,KARI,-,-,LOX, Kero Jet A,13409.42378,10727.53902,34212.6,68.7,325.1,498,1,2021,KSLV2 [3],LOX/Kero
RD-861K,YUZH/YUZHM,-,-,N2O4, UDMH,14082.72326,11266.17861,36472,77.6,330,470,1,2008,Tsiklon-4 [3],NTO/UDMH
Vinci,SNECMA,-,-,LOX, LH2,15056.3106,12045.04848,54000,180,457,300,1,2024,Ariane 6,LOX/LH2
RL10C-1,PWFL,RL10,-,LOX, LH2,20191.28394,16153.02715,71260,101.8,449.7,700,1,2014,Delta IV,LOX/LH2
RL10C-1-1,PWFL,RL10,-,LOX, LH2,20191.28394,16153.02715,71260,101.8,449.7,700,1,2021,Atlas V,LOX/LH2
LE-5A,MHIME,LE-5,-,LOX, LH2,20635.43612,16508.34889,73200,122,452,600,1,1994,H2 St2,LOX/LH2
RL10B-2,PWFL,RL10,-,LOX, LH2,21096.31878,16877.05502,77070,110.1,465.5,700,1,1998,Delta III,LOX/LH2
RL10C-2,PWFL,RL10,-,LOX, LH2,21213.87442,16971.09954,77000,110,462.5,700,1,2014,SLS?,LOX/LH2
RL10C-2-1,PWFL,RL10,-,LOX, LH2,21233.15977,16986.52781,77070,110.1,462.5,700,1,2014,Delta IV,LOX/LH2
RL10CX,PWFL,RL10,-,LOX, LH2,23142.40846,18513.92677,84000,120,462.5,700,1,2019,Vulcan Centaur,LOX/LH2
YF-102,TIANJ,-,-,LOX, Kero,37345.93643,29876.74914,80600,620,275,130,1,2023,Tianlong-2,LOX/Kero
KRE-075 V,KARI,-,-,LOX, Kero Jet A,39860.02808,31888.02246,93408.5,735.5,298.6,127,1,2021,KSLV2 [1],LOX/Kero
LR91AJ11,AJGC,LR91,-,N2O4, AZ-50,42460.46723,33968.37379,105300.6,472.2,316,223,1,1990,Titan  ??,NTO/UDMH
LR91AJ11A,AJGC,LR91,-,N2O4, AZ-50,42460.46723,33968.37379,105300.6,472.2,316,223,1,1990,Titan 4 Stage 2,NTO/UDMH
RD-0124A,KBKHA,-,-,LOX, Kero,44289.69359,35431.75487,124783.2,294.3,359,424,1,2014,Angara URM-2,LOX/Kero
RD-191,EMASH,RD-170,-,LOX, Kero,117911.687,94329.34963,311850,2079,337,150,1,2009,Angara URM,LOX/Kero
RD-151,EMASH,RD-170,-,LOX, Kero,144598.2571,115678.6057,382430,1670,337,229,1,2009,Naro-1,LOX/Kero
RD-180,EMASH,RD-170,-,LOX, Kerosene RP-1,297572.166,238057.7328,788880,4152,337.8,190,2,2000,Atlas 3 [1],LOX/Kero
